Timestamp, FixationPointX, FixationPointY, FixationPointZ,LeftGazeX, LeftGazeY, LeftGazeZ, RightGazeX, RightGazeY, RightGazeZ,LeftGazeOriginX, LeftGazeOriginY, LeftGazeOriginZ, RightGazeOriginX, RightGazeOriginY, RightGazeOriginZ,LeftPupilDiameter, RightPupilDiameter, LeftEyeOpenness, RightEyeOpenness
2023-09-18 11:54:28.612, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1395216, 0.1992982
2023-09-18 11:54:28.623, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1386566, 0.1586979
2023-09-18 11:54:28.634, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1386566, 0.1586979
2023-09-18 11:54:28.646, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1261932, 0.2287976
2023-09-18 11:54:28.658, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.0780763, 0.1649304
2023-09-18 11:54:28.669, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.0780763, 0.1649304
2023-09-18 11:54:28.680, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1097463, 0.1754137
2023-09-18 11:54:28.691, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1292936, 0.1611133
2023-09-18 11:54:28.706, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1150097, 0.2249953
2023-09-18 11:54:28.717, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1150097, 0.2249953
